"filename", "language", "JSON", "C#", "XML", "ShaderLab", "HLSL", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\vardy\OneDrive\GardenHouse\Assets\ArchVizPRO Interior Vol.4\3D SHADER\Grass2.shader", "ShaderLab", 0, 0, 0, 40, 0, 0, 0, 2, 9, 51
"c:\Users\vardy\OneDrive\GardenHouse\Assets\ArchVizPRO Interior Vol.4\3D SHADER\Terrain2.shader", "ShaderLab", 0, 0, 0, 52, 0, 0, 0, 3, 6, 61
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Behaviors\AIDestinationSetter.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 15, 5, 40
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Behaviors\Patrol.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 16, 12, 60
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 1804, 0, 0, 103, 1907
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\AIBase.cs", "C#", 0, 326, 0, 0, 0, 0, 0, 312, 104, 742
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\AILerp.cs", "C#", 0, 313, 0, 0, 0, 0, 0, 236, 106, 655
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\AIPath.cs", "C#", 0, 222, 0, 0, 0, 0, 0, 216, 78, 516
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\IAstarAI.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 330, 26, 387
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\NavmeshController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\RichAI.cs", "C#", 0, 285, 0, 0, 0, 0, 0, 195, 94, 574
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\RichPath.cs", "C#", 0, 581, 0, 0, 0, 0, 0, 157, 156, 894
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\Seeker.cs", "C#", 0, 225, 0, 0, 0, 0, 0, 304, 74, 603
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AI\TurnBasedAI.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AstarData.cs", "C#", 0, 412, 0, 0, 0, 0, 0, 228, 109, 749
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AstarMath.cs", "C#", 0, 799, 0, 0, 0, 0, 0, 483, 247, 1529
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\AstarPath.cs", "C#", 0, 844, 0, 0, 0, 0, 0, 1013, 306, 2163
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\GraphUpdateScene.cs", "C#", 0, 209, 0, 0, 0, 0, 0, 132, 58, 399
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\GraphUpdateShape.cs", "C#", 0, 96, 0, 0, 0, 0, 0, 32, 16, 144
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\AnimationLink.cs", "C#", 0, 98, 0, 0, 0, 0, 0, 1, 24, 123
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\ArrayPool.cs", "C#", 0, 112, 0, 0, 0, 0, 0, 68, 19, 199
"c:\Users\vardy\OneDrive\GardenHouse\Assets\AstarPathfindingProject\Core\Misc\AstarDebugger.cs", "C#", 0, 233, 0, 0, 0, 0, 0, 35, 77, 345
