Date : 2021-02-27 19:04:41
Directory : c:\Users\vardy\OneDrive\GardenHouse\Assets
Total : 1232 files,  212424 codes, 39564 comments, 40969 blanks, all 292957 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |      1,079 |    151,863 |     36,516 |     35,247 |    223,626 |
| XML       |         10 |     27,950 |          1 |        392 |     28,343 |
| HTML      |          1 |     15,380 |          0 |      1,665 |     17,045 |
| ShaderLab |        106 |     10,433 |        875 |      2,484 |     13,792 |
| HLSL      |         28 |      4,686 |      2,172 |      1,034 |      7,892 |
| Markdown  |          6 |      1,956 |          0 |        145 |      2,101 |
| JSON      |          2 |        156 |          0 |          2 |        158 |
+-----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |      1,232 |    212,424 |     39,564 |     40,969 |    292,957 |
| ArchVizPRO Interior Vol.4                                                                                                                       |          2 |         92 |          5 |         15 |        112 |
| ArchVizPRO Interior Vol.4\3D SHADER                                                                                                             |          2 |         92 |          5 |         15 |        112 |
| AstarPathfindingProject                                                                                                                         |        209 |     51,662 |     15,322 |     11,441 |     78,425 |
| AstarPathfindingProject\Behaviors                                                                                                               |          2 |         52 |         31 |         17 |        100 |
| AstarPathfindingProject\Core                                                                                                                    |         54 |     11,451 |      7,052 |      3,303 |     21,806 |
| AstarPathfindingProject\Core\AI                                                                                                                 |          9 |      2,002 |      1,756 |        644 |      4,402 |
| AstarPathfindingProject\Core\Misc                                                                                                               |         26 |      3,626 |      1,243 |        942 |      5,811 |
| AstarPathfindingProject\Core\Nodes                                                                                                              |          1 |        330 |        385 |         97 |        812 |
| AstarPathfindingProject\Core\RVO                                                                                                                |          5 |      1,158 |        636 |        349 |      2,143 |
| AstarPathfindingProject\Core\Serialization                                                                                                      |          5 |      1,008 |        190 |        250 |      1,448 |
| AstarPathfindingProject\Documentation                                                                                                           |          2 |     15,386 |          0 |      1,667 |     17,053 |
